InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
221958,SKU_1964,White Mug,38,01-01-2020 00:00,1.71,37039,Australia,0.47,Bank Transfer,10.79,Apparel,In-store,Not Returned,UPS,London,Medium
771155,SKU_1241,White Mug,18,01-01-2020 01:00,41.25,19144,Spain,0.19,paypall,9.51,Electronics,Online,Not Returned,UPS,Rome,Medium
231932,SKU_1501,Headphones,49,01-01-2020 02:00,29.11,50472,Germany,0.35,Bank Transfer,23.03,Electronics,Online,Returned,UPS,Berlin,High
465838,SKU_1760,Desk Lamp,14,01-01-2020 03:00,76.68,96586,Netherlands,0.14,paypall,11.08,Accessories,Online,Not Returned,Royal Mail,Rome,Low
359178,SKU_1386,USB Cable,-30,01-01-2020 04:00,-68.11,,United Kingdom,1.501433043,Bank Transfer,,Electronics,In-store,Not Returned,FedEx,,Medium
744167,SKU_1006,Office Chair,47,01-01-2020 05:00,70.16,53887,Sweden,0.48,Credit Card,13.98,Electronics,Online,Not Returned,DHL,London,Medium
210268,SKU_1087,USB Cable,25,01-01-2020 06:00,85.74,46567,Belgium,0.15,Bank Transfer,12.92,Stationery,Online,Not Returned,FedEx,Amsterdam,High
832180,SKU_1597,Notebook,8,01-01-2020 07:00,95.65,75098,Norway,0.04,Bank Transfer,6.48,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Low
154886,SKU_1907,Wireless Mouse,19,01-01-2020 08:00,98.19,87950,Belgium,0.05,paypall,12.56,Apparel,Online,Not Returned,UPS,Berlin,High
237337,SKU_1866,Headphones,40,01-01-2020 09:00,98.17,39718,Italy,0.16,Bank Transfer,7.71,Apparel,Online,Not Returned,Royal Mail,London,Low
621430,SKU_1144,Notebook,49,01-01-2020 10:00,87.56,13030,United Kingdom,0.19,paypall,9.83,Stationery,In-store,Returned,UPS,Paris,Medium
187498,SKU_1450,Office Chair,41,01-01-2020 11:00,59.51,32466,Australia,0.39,Bank Transfer,12,Furniture,In-store,Not Returned,FedEx,Amsterdam,Low
999159,SKU_1330,Blue Pen,41,01-01-2020 12:00,25.59,89794,Australia,0.01,Credit Card,15.58,Electronics,In-store,Not Returned,FedEx,Berlin,Medium
275203,SKU_1709,Headphones,3,01-01-2020 13:00,2.09,97817,Spain,0.47,Credit Card,19.22,Stationery,Online,Not Returned,Royal Mail,Paris,Low
291335,SKU_1874,Wall Clock,29,01-01-2020 14:00,35.88,43017,Portugal,0.06,Credit Card,14.85,Electronics,Online,Not Returned,Royal Mail,Amsterdam,High
378167,SKU_1163,T-shirt,16,01-01-2020 15:00,82.58,85852,Belgium,0.41,Bank Transfer,27.02,Furniture,In-store,Not Returned,UPS,Amsterdam,High
141090,SKU_1656,Office Chair,7,01-01-2020 16:00,70.85,15473,Germany,0,Bank Transfer,23.66,Apparel,In-store,Not Returned,FedEx,Paris,High
429365,SKU_1341,Headphones,49,01-01-2020 17:00,14.91,55644,Netherlands,0.36,Bank Transfer,5.32,Stationery,Online,Not Returned,Royal Mail,Paris,Medium
164820,SKU_1000,Backpack,21,01-01-2020 18:00,1.07,20566,Sweden,0.49,Bank Transfer,15.09,Accessories,Online,Not Returned,FedEx,London,Medium
887201,SKU_1119,USB Cable,46,01-01-2020 19:00,27.03,19819,Spain,0.26,Credit Card,23.8,Furniture,In-store,Returned,UPS,London,Medium
421879,SKU_1578,Wall Clock,43,01-01-2020 20:00,77.17,24716,Norway,0.3,Bank Transfer,24.77,Accessories,In-store,Returned,FedEx,Berlin,Low
